GM10847	GM12878	GM12891	GM12892	GM15510	GM18505	GM18951	GM19099	A549	HUVEC	IMR90	SGBS	Beas	AC16
0	13	8	8	0	0	0	0	0	8	36	111	0	0
4	0	4	0	0	0	0	13	10	12	22	10	9	0
0	0	17	0	0	0	0	21	25	5	5	6	0	0
4	6	9	6	4	0	16	16	9	0	12	56	18	0
0	0	0	0	0	0	0	0	19	3	5	30	0	0
0	7	8	0	0	0	4	0	0	4	11	56	0	0
0	0	0	0	4	0	0	0	0	0	0	4	8	0
0	9	0	0	3	0	0	0	0	3	0	7	0	0
0	4	0	0	0	0	3	17	0	39	37	17	13	0
0	0	4	5	0	4	0	4	0	0	20	28	6	0
0	16	0	0	17	0	7	7	28	10	20	48	6	0
5	15	12	0	0	0	5	5	0	3	4	24	0	0
0	49	6	0	0	0	5	0	19	0	8	67	0	0
0	28	11	0	0	0	0	8	31	6	0	20	13	5
4	4	5	0	0	0	0	0	7	2	10	60	8	0
0	12	6	0	0	0	4	0	48	14	14	65	33	0
4	10	0	0	0	4	0	12	8	5	0	12	16	0
3	11	0	3	0	0	3	16	7	0	0	23	0	0
0	0	0	0	0	0	0	0	0	8	4	52	0	0
0	4	0	0	8	0	0	5	0	0	9	39	0	0
0	0	0	0	0	0	0	0	14	0	0	14	6	0
4	17	3	0	0	0	4	8	0	0	4	12	0	0
0	15	3	8	0	0	0	5	0	21	11	19	0	0
0	7	4	0	0	0	4	0	13	15	4	30	7	0
6	6	0	0	0	3	0	0	9	33	0	47	0	0
8	0	9	0	4	0	0	0	12	29	12	48	0	0
0	17	6	0	0	0	4	0	7	6	22	51	19	0
0	19	5	0	4	0	7	0	11	0	5	22	0	0
6	23	0	0	0	0	0	0	11	0	0	12	11	0
0	4	9	3	0	0	0	0	0	0	14	11	0	0
0	14	4	0	0	0	0	0	12	0	6	20	0	0
0	0	0	0	0	0	0	4	24	0	8	0	0	0
0	0	0	4	0	0	0	0	0	0	7	34	0	0
0	0	5	0	0	0	0	0	7	8	16	43	0	0
0	24	6	0	0	0	0	0	0	0	0	10	0	0
0	4	8	0	0	0	0	0	0	0	7	18	0	0
0	0	5	0	0	0	0	0	8	0	10	17	0	0
0	10	6	0	0	0	0	15	0	0	14	16	0	0
0	0	0	0	0	0	4	12	17	9	0	46	5	0
0	13	0	0	0	0	0	0	4	3	4	67	0	0
0	19	0	0	0	0	0	0	7	0	0	48	19	0
0	28	4	0	0	0	0	10	9	6	4	30	0	0
0	10	5	0	0	0	0	7	7	27	5	59	0	0
0	11	0	0	0	0	0	0	24	21	19	20	0	0
0	7	5	0	0	0	0	0	0	0	0	20	6	6
0	0	4	0	0	0	0	0	32	0	8	18	0	0
0	10	0	0	0	4	0	0	20	21	17	5	0	0
4	5	5	0	0	0	0	5	0	15	43	41	11	0
0	0	0	0	0	0	4	0	0	8	14	0	5	0
0	14	0	0	0	0	0	5	11	0	4	34	0	0
5	10	0	0	0	0	0	0	9	12	15	20	6	0
0	16	0	6	4	0	3	0	0	0	16	20	12	0
0	7	8	0	4	0	0	0	0	0	41	32	0	0
4	6	2	5	0	0	0	4	0	0	13	27	31	0
0	17	0	0	0	0	0	10	11	6	7	31	0	0
0	0	5	0	0	0	0	0	14	0	17	11	0	0
0	10	6	0	3	0	0	0	7	0	5	32	0	0
0	17	4	0	0	0	0	0	8	4	18	24	0	0
0	12	0	0	0	0	0	0	27	0	11	32	13	0
0	12	5	0	0	0	0	0	9	0	0	7	7	0
0	8	14	0	0	0	7	0	17	0	10	24	5	0
0	5	11	0	0	6	15	8	10	45	8	28	24	0
0	0	0	0	5	0	0	0	39	0	6	16	0	0
0	8	8	8	0	0	0	13	6	9	27	17	0	0
0	27	9	4	0	6	5	7	25	0	15	22	0	0
0	4	0	0	0	0	4	0	0	27	0	6	0	0
0	5	0	0	0	0	0	0	18	45	8	31	17	0
0	7	0	0	0	0	0	16	28	5	0	48	0	0
0	5	0	0	0	0	4	0	12	7	5	20	0	0
9	5	5	0	0	0	0	0	56	0	28	27	16	0
0	5	0	0	0	5	0	10	21	0	0	9	0	0
0	0	4	4	0	0	0	0	22	0	27	17	14	3
0	18	15	0	4	0	0	0	36	16	0	35	15	0
0	7	0	0	0	0	0	0	0	0	14	49	0	0
0	0	0	0	4	4	0	0	39	0	6	28	7	0
0	15	13	0	0	5	5	0	0	21	13	18	17	0
0	0	0	0	0	0	0	0	28	0	4	34	12	0
0	20	5	0	0	0	0	4	22	18	16	31	0	0
0	10	5	0	4	0	0	6	0	6	6	0	0	0
0	7	0	0	0	0	0	0	35	3	0	22	0	0
0	6	0	0	0	0	0	0	0	0	19	11	0	0
0	0	6	6	0	15	0	0	0	4	0	22	6	0
0	9	0	0	0	0	0	0	0	0	0	0	0	0
0	4	5	0	0	0	0	0	0	12	4	11	0	0
0	7	0	0	0	0	0	0	0	0	0	4	0	0
0	20	0	0	0	0	0	0	0	0	0	14	0	0
0	8	8	0	0	0	0	0	11	3	14	7	0	4
4	0	4	0	0	0	0	0	0	3	0	5	0	0
0	6	0	0	0	0	6	7	0	0	0	33	0	0
0	23	0	0	0	0	0	0	0	0	0	18	0	0
0	17	0	0	3	0	0	0	23	0	33	20	15	0
0	5	0	0	0	0	0	0	0	0	0	14	18	0
4	0	13	0	0	0	0	0	16	0	20	46	0	0
0	0	0	0	0	0	0	0	47	29	18	72	0	0
0	0	0	0	0	0	4	0	31	0	0	18	0	0
0	0	0	0	0	0	0	0	15	0	7	30	0	0
0	6	8	0	0	0	4	0	39	0	15	14	13	0
0	14	4	6	0	0	5	0	27	65	5	29	0	0
0	4	5	4	0	0	0	0	8	0	0	6	5	0
0	0	10	0	0	0	0	0	0	0	0	13	0	0
0	4	0	5	0	0	0	0	0	12	12	20	6	4
0	27	0	0	0	0	14	0	9	0	11	45	0	0
5	8	0	0	0	0	0	0	0	0	6	49	0	0
0	8	0	0	0	0	0	0	6	0	20	7	0	0
0	0	0	6	0	0	0	0	7	0	5	39	0	0
23	49	9	0	0	4	0	0	25	3	0	25	0	0
0	4	7	0	0	0	0	0	22	0	0	33	0	0
0	16	0	0	3	0	3	12	26	2	4	6	0	0
0	5	5	0	0	0	0	10	0	3	0	44	24	0
0	17	0	0	0	0	0	0	23	0	0	20	0	0
0	20	4	0	0	0	0	4	0	5	18	32	11	0
0	0	0	3	0	0	0	4	27	6	16	32	0	0
0	17	0	0	0	0	0	21	0	3	21	52	0	0
0	8	0	0	0	0	0	7	8	8	4	41	0	0
0	0	0	5	0	0	0	0	0	4	13	21	0	0
0	0	5	0	0	0	0	0	7	12	8	4	17	9
0	6	5	6	0	0	7	0	24	6	0	60	0	0
0	4	15	9	4	0	7	4	28	16	15	64	0	0
0	19	0	0	0	0	0	6	9	0	16	22	0	0
0	5	0	0	0	0	0	8	0	3	6	16	5	0
1	8	3	1	0	0	0	0	0	0	5	26	0	0
6	0	4	0	3	3	0	0	22	23	18	41	17	0
0	4	0	0	4	0	0	0	9	0	15	14	18	0
0	6	0	0	0	0	0	0	8	0	5	12	0	0
0	8	0	0	0	0	4	5	19	16	27	33	0	0
0	10	0	0	0	0	4	0	0	0	10	30	9	0
0	0	16	0	0	0	0	0	31	0	19	39	0	0
0	0	0	0	0	5	0	0	8	4	38	20	0	0
6	25	6	5	0	0	0	0	9	6	29	51	6	3
5	26	0	0	0	0	0	0	19	0	35	31	0	0
0	0	0	0	0	0	0	5	0	0	0	40	0	0
0	0	0	0	0	0	0	0	7	0	29	51	0	3
0	5	0	0	0	4	0	0	0	25	24	24	2	0
0	32	5	3	0	4	0	0	26	5	34	6	0	0
0	0	0	10	0	0	0	0	22	11	27	25	10	0
0	0	0	0	0	0	0	4	14	0	0	60	0	0
0	10	0	0	0	0	0	0	26	6	0	46	7	0
0	6	4	0	0	0	0	0	16	7	9	14	0	0
0	11	0	0	0	0	0	0	0	0	6	41	0	0
0	0	7	0	0	0	0	5	8	19	0	34	0	0
0	8	16	0	0	0	0	0	0	6	8	35	0	0
0	7	17	0	5	0	6	6	34	0	0	21	22	3
